sentence1,sentence2
"Lois stood at the top of a steep, snowy hill with his sled.",He had never gone sledding before and was nervous.
The thieves also stole the cables out of the back of the TV.,The cops didn't believe I was robbed because of what was stolen.
He grabbed a baseball bat in case it was an intruder.,He found his cat tapping on the window sill.
Despite not having a lot of resources he pulled the business together.,Terry opened on time and began taking orders.
He passed with flying colors.,Doug drove to school from then on.
She would put lots of yummy things in a fancy blender.,"Once it was blended, she'd drink it all."
He paid for the bag of chips.,He noticed that the cashier gave him an extra dollar in his change.
He gave an angry prayer to god.,He believed that prayer was answered.
Kate decided to only wear them to work.,She was able stay comfortable and few people saw them.
Jon broke his hand.,He was out for the rest of the season.
We had to wait for a school bus.,My daughter barely made it to school in time.
My internet started acting strange this morning.,I tried to log in and the screen froze.
She ran outside to investigate it.,An old man was shooting cans with a pistol!
There was nothing to eat.,Tom decided to go back out and get some fast food.
Obtaining that signed copy was a thrill.,She vowed to make use of what she learned from the conversation!
He goes to look and see what it is.,He sees a big black bear.
When Jake called to find out he realized he was overdrafted a lot.,The fees took months to pay off.
His favorite was ramen.,He would go to a local restaurant that made it his favorite way.
She named her baby Stephanie.,She was very grateful to have a daughter in her life.
Luckily she always brought makeup in her backpack.,She redid her makeup and hurried off to class.
She has to write a report.,Her father told her to finish it last week.
One day Jill was headed to Mary's House.,They had made plans to go to the Mall.
His job required manual dexterity.,"As he got older, his arthritis worsened."
We were happy to see him but we were sad every time he bids goodbye.,He always bring us something to eat and buys whatever we want.
The family was on a boat in California.,They spotted a whale near the surface.
Al was really into floral design.,He was invited to participate in the local flower parade.
One day everything around them began to shake and tumble.,The teacher screamed earthquake and everyone hid under their desks.
"One by one, the lights went out as the thunder boomed.",Julie watched this wave of darkness approach like a wave.
He knew it was harmless and was afraid someone would kill it.,He used a large garbage can to scoop the snake up.
Jon has a big math test in the morning.,He decided he didn't need to study.
SHe was gone for a whole month.,She decided the job was not for her.
Betsy had a baby.,She invited all her friends to see her new daughter.
So instead of eating she was exercising.,After five months she had quit smoking and was slim.
"In addition, Dan loved seeing the players skate slowly on the ice.","However, Dan knew he would have to wait two more years to see curling."
"I didn't feel like writing it, so I hired Tom to write it for me.","Tom wrote a 2 page essay, which I turned in to my teacher."
"For as long as she can remember, Jamie has alway loved dogs.","When she was seven, her parents decided she was ready."
Steve offered to fix the pipe.,He bought the necessary items and fixed the pipe.
One day an inspector came and gave his beans a poor rating.,Wembley tried to bribe him.
The Sixers had a lead late in the fourth quarter that slipped away.,They lost the game but actually came close to getting the win.
They played games for hours.,Sam was leaving when he realized the games are missing.
They all spit it out when they drank it.,I wondered what was wrong.
Tom didn't want to get in.,It took him a long time to build up the courage to do so.
She hurried into the house.,Carissa had forgotten to put up the windows in her car.
Lisa got a brand new tablet.,She immediately took it everywhere.
She went to a follow up appointment and it was confirmed as cancer.,Jill went through several rounds of chemotherapy.
She cut felt into the shapes of two ears.,She glued them to the band to make a set of mouse ears.
She told me people make a wish and throw money in.,It is called a wishing well.
So he went to the computer store.,He found a nice mouse.
They only had a few weeks before their first competition.,They agreed to practice every day until then.
Her coworkers decided to throw her a retirement party.,Mavis felt very loved.
She started painting some cabinets.,"When her husband got home, he was really mad."
His grades soon improved.,Tom became very happy with his academic performance.
It was rather delicious.,I liked the taste of it.
He got behind a couple of months.,They threatened to cut him off entirely.
They figured it was a good way to save on wear and tear.,It also caught them a lot less in gas.
They were filled with holes.,I could not afford new ones.
Michelle and Ellen wanted to go shopping.,They each needed to pick up some things at the pharmacy.
Her car started to overheat.,It completely died on her.
A wire from his braces was poking Michael's mouth.,It hurt his mouth quite a bit.
Jason walked towards the catcher.,The pitcher got into his stance.
It was in it's cocoon for a long time.,Finally it began to emerge.
Rita gets company while cooking.,She loses track of the time.
She got a lucrative ad deal.,She saw her picture on a billboard.
No one thought he could really do it.,But Jake became the first in his family to attend college.
She caught a cold during the next day.,"Since i didn't eat it, I remained normal."
She sat down at her desk and pulled out her notebook and pen.,She began to write the first page but her hand started to hurt.
He decided to get another one.,The two cats didn't get along.
She was afraid she wasn't going to catch the bus.,She rushed around frantically.
Larry was in a car accident a few years ago.,He suffered a debilitating back injury.
Lucy was so nervous.,It was quite unlike her to be nervous about something.
Andy did not like gym.,He wasn't good at any of the sports.
She bought magnets to put the report card on the refrigerator.,She posted the report card there proudly.
Her mom decided to start her off with rice.,Sara added the rice to boiling water.
"After doing some research, he got some ideas.",He decided to sell his fresh fruit to a local market.
So she signed up for a dating website.,She thought she found a match and went on a date with him.
They made sure that everyone that was going were a strong swimmer.,They even had signed waivers in the event of an accident.
Albertson Mcalbertson was a disgruntled retail employee.,He hated it when customers came up to him.
Jan had been at her dad's house for that week.,But now she was going back to her mom's across town.
The new babysitter showed up on time and seemed very friendly.,Their dinner date was saved!
For my entree I selected a filet mignon.,The food was delicious and the ocean sunset was gorgeous.
Jane tried everything to clean it up to no avail.,She had to get it professionally cleaned.
The bus closed the door when I tried to get in.,"When I waved, the bus driver couldn't see me."
Whoever got the most eggs would win a prize.,Katie got the most eggs.
Tricia went to the fair.,She went with her family.
"When they arrived at the perfect spot, it started raining.","The waves were so big, they had to go back home."
The battery had gone out again.,It was a critical moment in his work day.
And he ended up saving lots of money.,So he ate less and less.
The neighbor is much taller than Alex.,The neighbor won the game easily.
So he stopped worrying and got a good night's sleep.,Mikey nailed the recital.
One day Jim left his house to go shopping and slipped on some ice.,"His neighbor Bob came rushing to help him get up, but Jim refused."
His friend Kevin gave him one of his extras.,Rane played the orchestra that night to a standing ovation.
One night a few residents were drinking at the pool.,The super came by and told them to get out.
He had a crazy idea about running for President of the United States.,He acted on that crazy idea and ran for President.
His best chance was to start his own company.,He did so and loved not having to answer to anybody.
He was not a good cook.,He decided to try making waffles.
She needed to find something before she left for home.,Jules found a beautiful silver spoon in a small antique shop.
Carrie was able to join the police force.,She became a rookie cop at the local police department.
A stranger met Jen in the park.,He asked her for a date.
But it's been a week and he hasn't been shown a scary movie.,Finally on Saturday his brother showed him a scary movie.
So she decided she was going to get it done.,Her friend Tina took her.
One day he caught his wife cheating.,Tom demanded a divorce.
He decided to take care of the farm.,Gene struggled and eventually had to sell.
Tim planted a garden.,He planted a lot of tomato plants.
They were bright red in color.,"Confused, she asked if they were made of cotton candy."
When Jerry arrives home he sees a man in suit.,He asks his parents who the man is.
Finally she found one for thirty dollars a month.,It ended up being perfect.
He had to wake up extra early to make it to work on time as well.,But after a few months of saving money Greg bought a car.
Dave spread manure on his garden.,"The day's were long in the arctic circle, and the vegetables grew quick."
The mom heard the phone ringing.,She answered the phone call quickly.
Jemma was obsessed with eating the best lobster ever.,She looked everywhere trying to find the best lobster.
Ron suffers from chronic depression.,He spends every day searching for a will to live.
She did the assignments to prepare.,Terry passed the test well.
He was running late.,He begged everyone to wait for him just a bit longer.
"She hadn't turned any cold water on, so she got burned by hot water.",She had to go to the hospital to get her burns treated.
It put them up for sale.,He started a business.
They thought the food tasted a bit off.,Fred's family fought over the bathroom the rest of the night.
Lara loved shopping.,She tried shopping everyday.
Danny even got to ride an elephant in front of the crowd.,He couldn't wait til the circus came in town again.
I bumped into her in the shoe store.,We bumped into each other so hard we dropped the shoes we had.
I was surprised to find there were no fences or railings at the edge.,My brother enjoyed walking right up to the rim of the canyon.
Jackie went to the basketball court every day and practiced.,She started making hoop after hoop.
Ken tried to clean his shoes to no avail.,They were completely ruined.
Josie was a new Girl Scout.,She was determined to sell a lot of cookies this year!
She decided to offer a brownie incentive.,"Soon, she had more customers lining up like crazy."
So she decided to go away.,She went to the ocean.
We just finished refinished our basement.,It really needed some work.
It was a way to fantasize the happy life she wanted.,"As an adult, she was unable to get the toy from her childhood home."
"The next week, the installer came to his house.",He set everything up for Po.
"Not knowing the food was drugged, Adrian ate the meal.","While he was knocked out, the woman tied him up and robbed him."
The doctor was getting old and past retirement age.,Matt decided he needed to find a new doctor.
The boys decided to go play paintball.,They went down to a local location.
Rick spent a lot of his free time painting.,He painted because it was the only thing that calmed him down.
She thought about cutting her hair really short.,Her friends and coworkers discouraged her.
"When he got out of his truck, he noticed he didn't have his belt.","Kevin realized he had left it at home, and felt stupid."
He looked everywhere to see where it came from.,He narrowed it down to an oil hose.
"Once the week was up, I started jogging for half an hour daily.","So far, I have lost 10 pounds by sticking to the program."
She was having difficulties shopping and cooking for herself.,She looked into different options to get her meals.
She hid in the ski lounge hoping no one would see her.,But her teacher found her and taught her how to ski.
He wanted it to be special and had worked hard on each detail.,"Jim became hungry, running around preparing, and ate a hot dog."
Tom wanted to attend medical school.,Tom did not earn a scholarship and could not afford it.
I decided to bake my food from now on.,It took longer but it was healthier.
Jill loved makeup.,She bought some new mascara.
Today she posted a photo of them together on Facebook.,Her ex-lover must be nervous.
I threw it in the garbage.,"Luckily, the mice in my kitchen found it delicious."
He prepared and practiced his speech until he knew it thoroughly.,Jonas received many accolades from his colleagues about his speech.
Their doctor told them it wouldn't be possible to have one.,Jen and Dave cried and prayed and decided to try again.
They began playing.,Toby's band did great and won the competition.
I begin my nightly face regimen.,I finally lay down for the night.
I put story online for sale at two ninety nine a copy.,I am now an Amazon dot com best selling author slash writer.
I sensed he wanted to tell me something.,He said he was really depressed.
Last night the candidate made the speech.,It was decent.
Michael and Nia felt very safe together.,The couple had a great time on their first date.
Tim messed up again.,The boss felt bad.
Tanya was having a rough day.,She was feeling really down.
Eloise was determined to make it to one hundred years of age.,She was in her early nineties.
He felt great about it.,Tom was happy that he became a judge.
He and his wife talked about how to make the lasagna.,"They came to a conclusion, she would make lasagna without cheese."
Cathy wanted a change of living environment.,"As Cathy was looking for a new place, she saw a houseboat for sale."
He was at work one day minding his business.,A co worker decided to plan a prank on Dick.
Sam went out drinking.,He tried to drive home.
He went to the store to buy the banana.,He found one that he liked.
Tom couldn't afford to evacuate.,He tried to ride it out.
Charlie showed him the broken toy and pointed to Robbie.,Dad picked Charlie up and took him to the store to get a better toy!
They followed the directions exactly.,"The Jello was a fun, yummy treat!"
"His wife called him, worried.",Rick shocked her when he got home an hour late.
He went home to get dry.,His home was locked.
John accepted the challenge and played the young child.,"After a nail biting game, the young child was one move from winning."
The congregation sat in stunned awe at the sheer beauty of it.,Hanna was so pleased all her hard work and practice had paid off.
Stephen tells her he can't see the words well.,Stephens teacher tells Stephen he needs glasses.
"He got stuck in traffic, and fell asleep.",He woke up on the side of the road in a ditch.
Edna compared the different prices of the cars she liked.,She finally made a decision based on all the information she had.
His wife looked at him calm on the couch.,Harrison asked her how she could be so calm.
The owners liked Sue the best.,Sue got the job at the restaurant.
His playmates couldn't find him.,He had difficulty breathing and was unable to get from under the rug.
"Mathias had epilepsy ever since he could remember, as a child even.","He tried living the best life he could, although at times he was sad."
He falls and hits his head on the floor.,He is rushed to the hospital.
He posted pictures of it on his social media.,Many people saw Shane's dining set.
Mike went to get his books out of his locker.,He had forgotten the lock code.
He said that he saw a bright light and then flashed back into reality.,It has changed how he feels about life since he survived.
ONe of them knocked a tree down in Tom's yard.,The tree fell partly on the living room.
"I haven't handled it properly, and I'm taking it out on my friends.","To take care of my problems, I asked for a few days off from work."
"At school, she studied as much science as she could.",Audrey grew up.
She thinks about him everyday.,She cannot go without her husband much longer.
I threw them in the wash.,Then I realized I put my cell phone in as well.
"He does not drive or bike, preferring to walk.",Yesterday he needed a ride home.
He moved to nashville hoping to become one.,He was set to go to his first try out.
Tim woke up early one day.,He decided to eat cereal before work.
This has led to Kanye to sponsor a fighting event between the two.,I hope that they can figure out their differences before this happens.
I bought two large bags of assorted candies.,I took them home to give out to children.
On the way home Jason's car skidded and he wrecked it.,Jason realized that going to the party was a bad decision.
She was heartbroken.,She got in her car and drove to the repair shop.
Will went to a home improvement store.,Will bought all the materials needed for a deck.
"When my aunt found out, she gave her a whipping for leaving the house.",We didn't spend the night there ever again.
James had inherited some things from his uncle.,One was a beautiful grandfather clock.
He placed one large wire in the left side.,"When it was connected, the speakers made a loud noise."
He wondered if he should call the cops or intervene.,John realized it would be safer if the cops came so he called them.
Jason did not like many aquatic animals.,He specifically hated squids though.
The men had great plans for the future.,They wanted to expand the railroad across the whole yard.
A big storm was brewing.,A tornado was spotted in town.
Tom exercised his forearms daily for months.,Tom challenged the football team captain and won.
She stepped away from the pan to use the bathroom.,"While she wasn't watching, the pan burst into flames!"
Jen began to vomit.,She left from work and took a sick day.
"Initially, I thought I was looking at a bird with no head.","It had only a body and legs, and was standing in a pool of water."
Coy was playing in a championship baseball game.,The other team was down to their last out.
All that could be seen were the stone arches above the doors.,The plumber told him it flooded because the sump pump was off.
So he got a tryout with a team.,He played the game of his life and the team signed him.
The team had to train another player to pitch.,William's team wasn't able to get into the playoffs without William.
My coworker Sheila was thin when she started in 1985.,She was attractive and dated several men.
She was having a great time!,"The, out of nowhere, she shrieked."
Then they walked down to the beach.,They played in the water a bit.
Kara decided she wanted to make some cupcakes.,She got out her materials and started cooking.
It appeared the old dog was dying.,I called the vet and scheduled an appointment to put the dog down.
Tommy had to get repairs done on his car.,The repairs were going to cost a couple extra hundred dollars.
Tom was a DJ.,He made electronic music.
He was worried he had contracted Malaria.,He visited the doctor.
He also hired a dj to play all kinds of music.,Once it got started the party was a big success!
Will got a call from a cousin he hadn't seen in twenty years.,She invited Will to attend a family reunion.
Babe Ruth could hit more homers than anyone.,Homers win games.
Quickly she realized that that was a futile plan.,Instead she called a cab to come and help her out.
I was on my way to work.,I got stopped by a train.
The curtain raised and the opera started.,Gary was blown away.
He squatted at a large tree's roots when he spotted a really nice one.,"When he picked it up, the cicada who hadn't shed yet buzzed angrily."
Stevens decided to practice every day.,He swum from the morning to the night.
And he was close to giving up.,"But after it was finished, he was proud of himself."
One day another child took Sheila's milk.,Sheila hit the child on her head.
He posted something somewhat personal on Facebook.,Some of his friends were offended.
He had been practicing all semester.,He was excited for tryouts.
One day I asked her what was bothering her.,She told me I didn't give her enough attention and we broke up.
Serena was playing with her baby one day.,He was babbling a lot and she tried to encourage him to speak.
The car flips over and over.,Lorrie climbs out of the wreckage.
Eventually she found a great deal.,She booked tickets to the Bahamas.
The pizza was delivered to me very quickly.,"When I opened the box, I realized it had the wrong ingredients on it."
Jen cleaned up the powder in the bathroom.,She put the powder where her daughter wouldn't reach it.
Unfortunately her parents were going through financial difficulties.,"To Susie's disappointment, Dad said they'd get her something cheaper."
Jeremy launched a toy rocket.,He watched it fly into the sky and then walked away.
She saw a small black bug inside of it.,Ann screamed and threw the box away immediately.
She didn't want to break them up.,She was delighted when her dad said they could take both home.
She told him it wasn't true as no one could love so fast.,But as time went by she had to change her mind as it was true.
His girlfriend wants better in life.,She decides to leave Jason.
William had just moved to the new neighborhood.,He didn't know anyone and preferred to stay indoors.
Someone knocked on Manny's door.,He looked outside his peephole.
He took the batteries out of his smoke alarm to make his food.,He left the food on the stove too long and it caught fire.
I got the gas for the grill and attached it.,The grill wouldn't turn on at first but eventually it did.
She handed it in and thought she would do well.,But unfortunately the teacher could not even read it.
Tim saw a streak run by him.,It was a man being chased by the police!
Yet she ended up eating the entire bag.,Allie felt badly after and she went to exercise.
Susie did not mind.,But then she found out there was no overtime pay and she was mad.
Brad still had feelings for Cindy.,Brad drank too much at Cindy's wedding.
Joe was a sheep owner.,He stayed out one autumn night with his sheep.
It was slow and worn out.,But he bought a new motor and new tires.
"We got popcorn, movies, and sodas.",We all showed up at my friends house and unloaded all our stuff.
Everything was cooking really nicely but it needed time.,Jill left it to cook while she took care of some chores.
Ben stayed after school for an important event.,"Once the event was finished, everyone went home."
Unfortunately he hurt his ankle.,"Ken wasn't sure if he could do it, but practiced hard."
Kevin didn't know how he would survive another dry season.,Kevin wound up selling land to a developer to avoid bankruptcy.
He taught himself over a course of three days.,Eventually he was a master!
He lost control of his bicycle.,Brian crashed into the neighbor's mailbox.
He is failing more than 2 classes.,Kyle becomes depressed.
Jake went on a hike today.,He was walking around his usual trail.
Jackson had a toothache.,He went to the dentist to get it checked out.
It eventually started to run towards Hannah.,She ran as fast as she can away from the house.
She mowed it every week.,"When the grass looked dry, she dragged out the sprinkler."
Lila was sleeping.,She felt something brush against her hand.
I visited Josh in the hospital.,I invited as many officers from his squad as possible to visit Josh.
Soon the heat made her drink begin to melt.,By the time she made it home her hands were covered in sticky drink.
Jenny was getting ready to move.,She had tons of stuff she couldn't haul and could use some cash.
I was throwing a birthday party.,I found out that my friend was throwing one for himself as well.
"After an hour, the two finally escaped through picking the lock.","It turned out they didn't get together, but are now good friends."
She leaned in to check on something and felt a sudden heat blast.,"Before she knew it, her eyebrows were completely charred away."
Jessica likes to write fiction.,She submitted a story she'd written to a magazine.
There was a storm warning.,He had never been in a storm before.
We were both very nervous about flying.,We were scared during the turbulence.
He was trying to show off.,Unfortunately he cut the wrong wire.
I got really excited that I may win big.,I won a hundred dollars.
They expected it would be a quick job.,But it took him two hours to fix it.
"Although he knows that he can't swim, he still accepted the offer.","On the day of the party, he came with his swimming trunks."
One day Andy didn't like the investment he made.,He immediately sold the investment and was happy.
"After seeing a marriage counsellor, Jo felt that it was too late.",She filed for a divorce because she didn't love him anymore.
The store was out of cake ingredients.,"Thankfully, his neighbor had some cake to share."
Tara decided to read online about the candidates.,She learned about their stances on all of the issues.
So he bought himself some seeds and soil and a pot.,He planted his seeds in a pot full of soil.
She had a special work event coming up.,She saw a shirt online and went to the store to see it.
She met all her friends and went in excitedly.,They danced and sang all night.
Their hotel room was overbooked.,The weather was terrible.
"One day, the students needed to take a standardized test.",Miss Anthony went over the necessary material with her students.
Jeremy was at his aunt's house with his cousins.,They decided to bat a balloon back and forth on the floor.
Our son transferred the music purchased on itunes.,Unfortunately that was only half of her music.
She had a crush on Brad for four years.,"The day before the prom, Sasha talked to Brad."
The man jumped off the bridge.,He landed in the water below.
They started dating that week.,Marcus was happy that he was no longer single.
He heads home to spend the summer with his little brother.,They have a great summer together.
He couldn't wait to invite his friends over.,He would grill for them and show them around.
She realized it was a spider.,"Frantic, she jumped up and ran away."
She was flirtatious but not completely interested.,Tom liked the interaction regardless.
Roger was freaking out because he could not find his car keys.,He had already procrastinated to the last minute to leave for work.
We got the 11 AM movie.,There was nobody in the theater.
Randall was playing with his BB gun.,He liked to shoot cans and bottles.
But after 7 years Ren decided she wanted a divorce.,Jay didn't want the divorce and reluctantly signed the divorce papers.
"After Fran had lost at ring toss, she and Burt tried another game.",They had fill a balloon with water from a squirt gun.
She wrapped up a difficult case and went home.,All she wanted was a bath and to spend time with her husband.
Lisa had been having headaches.,She went to see a specialist.
Jay was building a house.,His land was on a low level area.
He got away with this for years.,One year his luck ran out and the IRS caught him.
His old one got hacked so he wasn't sure which one to use this time.,He asked around and we all pretty much agreed that Gmail was best.
People came from all over to see them.,The lions behaved themselves.
Henry was not pleased with his cousin tagging along.,His cousin ran wildly through the restaurant knocking things over.
Tim's entire family was going on vacation to Hawaii.,"This included his aunts, uncles and all of his cousins."
I tried to jump the fence at my grandmother's house.,My foot caught on the top of the fence and I fell on my face.
Sam knew he would be fired if he didn't do better.,Unfortunately he wasn't able to.
He was terrified until he got the negative results.,Alan vowed never to do anything so stupid again.
His friends rolled him over.,They painted stuff on his face.
He watered the plant everyday.,In a month it grew into a big plant.
"She has an air conditioner, but it's a window unit.",It doesn't put out enough power to cool her whole house.
He got excited and asked me how to do it.,We got on the internet and he got his ordination card a week later.
It kept buffering and freezing.,Sam called his internet provider.
He put down his plate to go to the restroom.,The kitten ate the rest of his food.
Sheena bought a new dress.,She knew she looked beautiful in it.
He is a manager from another state division.,"He started showing up at 7 Am, 1/2 an hour before starting."
He approached the ball and set up.,He let loose an almighty swing.
She was very happy except for one thing.,Her shoes were full of sand.
It made me sick to my stomach.,I will not order okra stew again.
Jeff wanted to buy a new car.,So he got a part time job.
Dan loved refrigerator magnets.,"Whenever Dan visited a new country, he would get a magnet."
Sam tried his best to save it to no avail.,There was no third date.
The operation got infected.,The cat died.
She applied antibiotic cream to it.,Then she covered it for a few days.
"The new girl phoned the boss, who came down to the shop.","Tom was fired on the spot, the new girl taking over his position."
He didn't have a spare on him.,He remained mostly blind all day.
Fred was absolutely crushed.,He didn't know what to do.
She submitted her work to every agency in town.,An agent finally hired her.
It was time to cut my hair.,I buzzed it like I normally do.
They decided to drive to the house.,"Once they found it, they all felt a cold chill."
She directed her crew and cast on what to do.,"When she finished, she yelled that it was a wrap."
He wondered what he could do.,He thought he would dust of his old boat.
His parents had said they might not be able to afford the trip yet.,"They might have to wait another year, when Joe would be nine."
Rick won second place in his first tournament.,After 4 days Rick had won over two thousand dollars.
He gave him some absinthe to drink.,Gerard passed out after one drink.
"The moment he met his new puppy, they were best friends.",They did everything together.
Johnny mixed up the dough.,He then realized he was out of cheese.
The man saw it in the morning.,He thought the kids had spilled it.
Today I got an email saying that my play was selected.,A professional offered to buy my play and make it into a movie!
The hostess approached the group.,She told them that the table was reserved.
She pulled over and saw she had a flat tire.,She called for service but couldn't get through.
Wes did the laundry.,He put a red towel in with the white ones.
He was frustrated and wondered why.,Finally someone told him it was lack of experience.
Susie would play daily.,At the playoffs thankfully she won.
She studying for five hours straight.,"The next morning, Jen aced her final exam!"
Fred won something in his cereal.,He won free tickets to a concert.
Then she shook it to mix it before pouring a glass.,But the last user had not secured the cap.
The man told a story.,The boy liked it.
She went shopping every day.,Soon the home was full of beautiful pieces.
Joy bought herself a new dress.,She looked in many stores to find one.
His parents weren't paying attention.,Tim decided to try and swallow one.
"When he decided to leave, the man had a thought.","Instead of walking down, he decide to roll down the hill."
The family was very nice to Robert.,Robert did all the yard work in payment.
He was very friendly and nice.,It turned out that Wang was from China and an exchange student.
Tom avoided singing in front of others.,ONe time his friends heard him and made fun.
"I went online the next day, and found my cart had in fact been erased.",I called tech support but never got through.
This led the pals to having an argument about the intentions.,The pals fought so much they didn't even finish the game.
Rob visits a local mall in the afternoon.,He enters a shoe store to browse the selection.
Ryan called his waitress to come over.,He complained to his waitress about the food.
She applied to a well known college.,She went to school for four years.
He started the book sale Saturday morning.,He made two hundred dollars.
He had to travel from city to city preparing displays.,He worked sixty hours plus drive time in one week.
She needed it to move up a level.,But when she got her test back she failed.
They went on a date and discovered he was the same guy.,The two got married that summer.
Finally the lights of the gas station could be seen up ahead.,The girls all let out a loud cheer.
He had a lot of work to do since he worked from home and was slacking.,He finally decided to eat something at midnight of that day.
When she went to bed she wished it would snow.,That way school would be cancelled so she could study more.
I decided that I wanted to shave it.,I used an electric razor.
I had left my backpack with my passport and money in McDonald's.,I scurried over and thanks to God my backpack had been stored.
She didn't have any other options but to go to work so she went.,When she got there she told her boss that she wasn't feeling well.
John notices that the tires on his truck are worn out.,He decides it is time to change them.
Bart arrived for his appointment and was seen by the dentist.,He was happily surprised that he had no cavities.
Allie competed in a baking competition.,She was nervous about winning.
We were all excited to hear the ice cream truck.,When we heard it we chased it down.
"As the vase fell, she instinctively reached out her hand.",She caught the vase just in time.
He took his time since he was in the lead.,He scored more points than Earl and Jane combined.
"During the audition, he forgot one of his lines.","Wendell was devastated, and certain that he would not get the part."
She began separating items to keep and sell.,"When grabbed the last box, she found her childhood blanket."
He really wants candy.,He has no money.
"Jeff left Lebowski's house, and took one of his rugs anyway.",Jeff brought the rug home and took a nap on it.
"As she was playing, she jammed her fingers.",She did not want to go to the doctor.
She felt she had no choice but to speed read.,And she became better and better at it.
Will was driving his truck.,While driving he hits a rock.
Jared preferred a truck over the SUV I assigned him.,Jared decided to simply take a truck without permission instead.
Every day Laura's class was given 15 minutes of pretend time.,One day Laura set her head down on her desk during pretend time.
She accidentally screamed at them.,The class was never loud again.
Then it dawned on her and Vicki laughed.,It'd come from her feather duster!
The bristles were coming off of the broom.,Billy told his boss they needed a new broom.
He played a game of golf but started to feel guilty.,He left early and stopped and bought flowers on his way home.
Joanie was in labor at the hospital.,She was concentrating on having her baby.
She asked her daughter if she could trust her.,Her daughter knew she was caught.
Tom tried to be romantic.,He tried to get his girlfriend some flowers.
Carter was shopping at a grocery store.,He was looking through the apples.
Rachel wore a pink wig.,"Every day, she would brush the wig and put it on."
He took a year to study for the exam.,"When he received his scores, it fell short of the requirements."
My 2 year old daughter hates naps.,Every day she tries to trick me into letting her stay awake.
She went to the local animal shelter.,She saw many cute dogs.
Edward had always wanted to be a hunter.,He was very good with the bow and arrow.
We decided to find a stick and slice him in half.,"When we did this, each half of the worm went in a different direction!"
"Meanwhile, I ran in the other direction, away from the puppy.",I never saw the puppy again.
Kia's baby had colic and had not slept in weeks.,Kia had been up with him every night.
Tom tried but failed to hide his tears from his friends.,"To this day, they tease Tom relentlessly about crying at the movies."
Luckily he was wearing his protective boots.,Charles laughed it off and picked up his hammer.
He had selected the best wood and a great plan.,His kids were so excited they couldn't sleep.
She loved him like he was her own.,She cried when he gave her a special necklace for Christmas.
"He kept the gun unloaded, in his bedroom nightstand.","One night, John heard a noise."
The bike wheels splashed water up onto his clothes.,All of his work suit was damaged with muddy water.
Tom entered a dance competition at a club.,He was surprisingly good.
Suddenly he saw his wife's eyes twitch.,He pinched her skin and she said ow.
When I was a teenager my parents asked me to say grace at Christmas.,"Being a teenager and full of rebellion, I refused."
After three weeks of studying and hard work she had straight A's.,The next week her dad signed her up for a soccer league.
Donna's grandson was a teenager.,She didn't know what to get him for his birthday.
It was a warm day with a light breeze.,Sam decided to drive around with the top down.
In November his car stalled and someone called the fire department.,"He turned his experience into a novel called, The Worst Fall Ever!"
He began to use it all the time.,It got to the point where his parents were annoyed by it.
He stepped on a board with a nail puncturing his foot.,He howled in pain begging Shannon to help him.
"In the 10th grade, Gena decided to skip school without leaving campus.",She hid in the journalism room through the first half of the day.
So she bought one and set it up.,No one was using it so her brother felt bad.
By my 16th birthday I was almost 6 feet tall.,"I wanted a car that day, and I got one."
Peter didn't like children and yet he was a clown.,Every time he had to perform for children he would get a rash.
Alex asked his parents if he could please have a bike as well.,Finally the day of his birthday party came.
The first girl to swing does not break the pinata.,The next boy hits one of the legs off the pinata.
Tom decided to get Renter's insurance.,Shortly after there was a strong storm.
He spoke with the store owner which led him to the birds.,He found himself purchasing not one but to parrots for his young son.
He walked 5 dogs at a time and went to the park every day.,He could handle all the dogs with ease but on this day he had a pit.
"Josh was injured during a foot chase, breaking two bones.",I visited Josh in the hospital.
He went to the laundromat.,He washed his clothes.
One day Phil's bike got stolen.,Phil was determined to get the papers delivered.
It was difficult to come to a consensus.,"Finally, they agreed on a movie to watch."
The lawyer helped her very much!,"He got her a $240,000 settlement."
Todd never played with a frisbee before.,We walked to the store and purchased a frisbee.
They had all their food and drinks planned out.,They got to their spot and started tailgating.
The jeep got stuck in the sand.,Sam had to call his friends to help him out.
They got off of the bus when they arrived at the zoo.,They walked through the monkey house.
He got closer and closer to his friend.,Finally he was nose to nose.
My mom ordered a steak from the restaurant.,She requested that be cooked well-done.
"At first, Melissa was very scared but later, she became brave.",She gave the badger a little food.
He soon realized how dirty his rug was.,Instead of relaxing Ken felt the need to vacuum.
"She applied to NYU, and her local college, just in case.","When her NYE envelope arrived, she was terrified but excited."
They stumbled on a cave in the woods.,The crept inside.
He forgot to water it in a long time.,Then he overwatered it to compensate.
His mom could not take him.,So Joe called his cousin to see if he could take him.
He worked hard every day.,He wanted to make his dealership very successful.
He found a cheap one and bought.,It came to his mail a week later.
When he asked her she said no.,Fred was devastated.
My daughter lives in Queens.,"They called her up about visiting, but my daughter was working."
Jackie's brother Josh played soccer for his collegiate team.,Jackie and her whole family went to every game to cheer for Josh.
Serena was completely insulted that her mom wouldn't believe her.,She told her mom that her feelings were hurt.
One night my friend offered me a coffee that i haven't tried.,"When i drink it, that's the only time that i'm awake the whole night."
Our dog was very playful.,We tried to find a dog friend for her.
I put my bowl on the table.,I was able to eat my lunch.
Kate and Liz were going to drive Kate's car to Las Vegas.,But Kate wanted to make sure the car would make it.
